# Source : https://afpacp.fr/voir_departements_limitrophes.php
"Departement";"Voisin 1";"Voisin 2";"Voisin 3";"Voisin 4";"Voisin 5";"Voisin 6";"Voisin 7";"Voisin 8"
1;38;73;74;39;71;69;" ";" "
2;59;80;60;77;51;8;" ";" "
3;42;71;58;18;23;63;" ";" "
4;83;6;5;26;84;13;" ";" "
5;4;26;38;73;" ";" ";" ";" "
6;83;4;20;" ";" ";" ";" ";" "
7;48;30;84;26;38;69;43;" "
8;55;51;2;59;" ";" ";" ";" "
9;31;11;66;" ";" ";" ";" ";" "
10;89;21;52;51;77;" ";" ";" "
11;9;31;81;34;" ";" ";" ";" "
12;34;30;48;15;46;82;81;" "
13;30;84;83;20;" ";" ";" ";" "
14;27;61;50;" ";" ";" ";" ";" "
15;48;43;63;19;46;12;" ";" "
16;17;79;86;87;24;" ";" ";" "
17;85;79;16;33;" ";" ";" ";" "
18;36;41;45;89;58;3;23;" "
19;23;87;24;46;15;63;" ";" "
20;13;83;6;" ";" ";" ";" ";" "
21;10;89;58;71;39;70;52;" "
22;29;56;35;" ";" ";" ";" ";" "
23;87;19;63;3;18;36;" ";" "
24;17;16;87;19;46;47;33;" "
25;39;70;90;" ";" ";" ";" ";" "
26;84;4;5;38;69;7;" ";" "
27;76;60;95;78;28;61;14;" "
28;27;78;91;45;41;72;61;" "
29;22;56;" ";" ";" ";" ";" ";" "
30;34;12;48;7;26;84;13;" "
31;65;32;82;81;11;9;" ";" "
32;31;65;64;40;47;82;" ";" "
33;17;24;47;40;" ";" ";" ";" "
34;11;81;12;30;" ";" ";" ";" "
35;50;53;49;44;56;22;" ";" "
36;37;41;18;23;87;86;" ";" "
37;41;36;86;49;72;" ";" ";" "
38;5;73;1;69;7;26;5;" "
39;1;71;21;70;25;" ";" ";" "
40;33;47;32;64;" ";" ";" ";" "
41;72;37;36;18;45;28;" ";" "
42;43;69;71;3;63;" ";" ";" "
43;48;7;69;42;63;15;" ";" "
44;56;35;53;49;85;" ";" ";" "
45;91;77;28;41;18;58;89;" "
46;15;19;24;47;82;12;" ";" "
47;33;40;32;82;46;24;" ";" "
48;12;30;7;43;15;" ";" ";" "
49;44;53;72;37;86;79;85;" "
50;14;61;53;35;" ";" ";" ";" "
51;2;77;10;52;55;8;" ";" "
52;21;70;88;55;51;10;" ";" "
53;49;72;61;50;35;44;" ";" "
54;57;67;88;55;" ";" ";" ";" "
55;54;88;52;51;8;" ";" ";" "
56;29;22;35;44;" ";" ";" ";" "
57;67;88;54;" ";" ";" ";" ";" "
58;3;71;21;89;45;18;" ";" "
59;2;80;62;8;" ";" ";" ";" "
60;2;80;76;27;95;77;" ";" "
61;14;27;28;72;53;50;" ";" "
62;80;59;2;" ";" ";" ";" ";" "
63;15;43;42;3;23;19;" ";" "
64;40;32;65;" ";" ";" ";" ";" "
65;64;32;31;" ";" ";" ";" ";" "
66;9;11;" ";" ";" ";" ";" ";" "
67;68;88;54;57;" ";" ";" ";" "
68;90;70;88;67;" ";" ";" ";" "
69;1;71;42;43;7;26;38;" "
70;21;39;25;90;88;52;" ";" "
71;3;42;69;1;39;21;58;" "
72;28;61;53;49;37;41;" ";" "
73;74;1;38;5;" ";" ";" ";" "
74;73;1;" ";" ";" ";" ";" ";" "
75;92;93;94;" ";" ";" ";" ";" "
76;80;60;27;" ";" ";" ";" ";" "
77;89;10;51;2;60;93;91;45
78;95;27;28;91;92;" ";" ";" "
79;17;85;49;86;16;" ";" ";" "
80;62;59;2;60;76;" ";" ";" "
81;11;34;12;82;31;" ";" ";" "
82;32;31;81;12;46;47;" ";" "
83;13;84;4;6;20;" ";" ";" "
84;13;4;26;7;30;" ";" ";" "
85;44;49;79;17;" ";" ";" ";" "
86;36;37;49;79;16;87;" ";" "
87;23;19;24;16;86;" ";" ";" "
88;70;90;68;67;57;54;55;52
89;58;21;10;77;45;" ";" ";" "
90;25;70;88;68;" ";" ";" ";" "
91;45;28;77;78;92;94;" ";" "
92;75;95;78;93;" ";" ";" ";" "
93;92;95;94;77;" ";" ";" ";" "
94;77;75;92;93;91;" ";" ";" "
95;78;27;60;93;92;" ";" ";" "
